id,isResult,h,a,goals,xG,datetime,forecast,season,league
523,True,"{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '1', 'a': '1'}","{'h': '1.19268', 'a': '0.88211'}",2016-10-01 18:00:00,"{'w': '0.4588', 'd': '0.3018', 'l': '0.2394'}",2016,EPL
524,True,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '2'}","{'h': '0.27266', 'a': '1.99155'}",2016-10-01 18:00:00,"{'w': '0.0297', 'd': '0.1375', 'l': '0.8328'}",2016,EPL
525,True,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '2'}","{'h': '1.23419', 'a': '1.35487'}",2016-10-01 18:00:00,"{'w': '0.326', 'd': '0.2881', 'l': '0.3859'}",2016,EPL
526,True,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'h': '1', 'a': '1'}","{'h': '0.883385', 'a': '0.852603'}",2016-10-01 18:00:00,"{'w': '0.3342', 'd': '0.3449', 'l': '0.3209'}",2016,EPL
527,True,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '1', 'a': '1'}","{'h': '2.80988', 'a': '1.20043'}",2016-10-02 15:00:00,"{'w': '0.7652', 'd': '0.1639', 'l': '0.0709'}",2016,EPL
528,True,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '0', 'a': '0'}","{'h': '0.446309', 'a': '0.920963'}",2016-10-02 17:15:00,"{'w': '0.1629', 'd': '0.363', 'l': '0.4741'}",2016,EPL
529,True,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '2', 'a': '0'}","{'h': '1.69975', 'a': '0.909513'}",2016-10-02 17:15:00,"{'w': '0.5923', 'd': '0.2545', 'l': '0.1532'}",2016,EPL
530,True,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '1'}","{'h': '0.608783', 'a': '1.85433'}",2016-10-02 19:30:00,"{'w': '0.0608', 'd': '0.2093', 'l': '0.7299'}",2016,EPL
531,True,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '3', 'a': '0'}","{'h': '3.11573', 'a': '0.182549'}",2016-10-15 15:30:00,"{'w': '0.9675', 'd': '0.0292', 'l': '0.0033'}",2016,EPL
532,True,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '3', 'a': '2'}","{'h': '3.50519', 'a': '1.74979'}",2016-10-15 18:00:00,"{'w': '0.7551', 'd': '0.1347', 'l': '0.1102'}",2016,EPL
533,True,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '6', 'a': '1'}","{'h': '2.92532', 'a': '0.388589'}",2016-10-15 18:00:00,"{'w': '0.924', 'd': '0.0631', 'l': '0.0129'}",2016,EPL
